Rhode Island, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,23.5,-3.7
197701,19.6,-7.6
197801,24.8,-2.4
197901,29.5,2.3
198001,28.6,1.4
198101,19.0,-8.2
198201,20.4,-6.8
198301,28.9,1.7
198401,25.1,-2.1
198501,22.5,-4.7
198601,29.7,2.5
198701,27.3,0.1
198801,24.8,-2.4
198901,32.0,4.8
199001,35.2,8.0
199101,28.2,1.0
199201,29.4,2.2
199301,30.1,2.9
199401,21.3,-5.9
199501,34.1,6.9
199601,27.6,0.4
199701,28.4,1.2
199801,34.3,7.1
199901,29.6,2.4
200001,26.8,-0.4
200101,28.0,0.8
200201,34.7,7.5
200301,23.5,-3.7
200401,20.2,-7.0
200501,26.3,-0.9
200601,36.0,8.8
200701,32.8,5.6
200801,31.7,4.5
200901,23.4,-3.8
201001,28.4,1.2
201101,25.2,-2.0
201201,33.5,6.3
201301,30.4,3.2
201401,26.1,-1.1
201501,25.5,-1.7
201601,31.3,4.1
201701,34.2,7.0
201801,27.6,0.4
201901,29.0,1.8
202001,35.3,8.1
202101,31.5,4.3
202201,27.1,-0.1
