Vermont, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,14.0,-6.2
197712,19.2,-1.0
197812,21.2,1.0
197912,24.9,4.7
198012,13.4,-6.8
198112,22.5,2.3
198212,27.7,7.5
198312,18.7,-1.5
198412,26.6,6.4
198512,17.7,-2.5
198612,24.0,3.8
198712,25.5,5.3
198812,19.0,-1.2
198912,4.5,-15.7
199012,26.6,6.4
199112,21.3,1.1
199212,23.9,3.7
199312,21.7,1.5
199412,26.0,5.8
199512,17.3,-2.9
199612,29.2,9.0
199712,22.7,2.5
199812,29.2,9.0
199912,25.7,5.5
200012,16.6,-3.6
200112,29.8,9.6
200212,21.6,1.4
200312,21.8,1.6
200412,21.4,1.2
200512,21.3,1.1
200612,30.5,10.3
200712,21.5,1.3
200812,22.9,2.7
200912,21.9,1.7
201012,20.8,0.6
201112,27.9,7.7
201212,27.4,7.2
201312,21.4,1.2
201412,27.0,6.8
201512,35.1,14.9
201612,23.9,3.7
201712,17.9,-2.3
201812,23.0,2.8
201912,23.3,3.1
202012,27.3,7.1
202112,28.2,8.0
